name,class
가울테리아,leaf
개운죽,leaf
골드크레스트 '윌마',leaf
공작야자,leaf
관엽베고니아,leaf
관음죽,leaf
구문초,leaf
구즈마니아,leaf
군자란,leaf
글레코마,leaf
금목서,leaf
금사철나무,leaf
금식나무,leaf
금전수,leaf
금천죽,leaf
기누라,leaf
꽃베고니아,leaf
나도풍란,leaf
나한송,leaf
남천,leaf
네마탄투스,leaf
네오레겔리아,leaf
녹영,leaf
뉴기니아봉선화,leaf
대만고무나무,leaf
더피고사리,leaf
덕구리난,leaf
데코라고무나무,leaf
덴파레,leaf
도깨비고비,leaf
돈나무,leaf
동백,leaf
둥근잎 아랄리아,leaf
듀란타,leaf
드라세나 '송오브자마이카',leaf
드라세나 '와네끼',leaf
드라세나 '송오브인디아',leaf
드라세나 '자바',leaf
드라세나 '콤팩타',leaf
드라세나 '트리컬러 레인보우',leaf
드라세나 드라코,leaf
드라세나 마지나타,leaf
드라세나 맛상게아나,leaf
드라세나 산데리아나,leaf
드라세나 산데리아나 '세레스',leaf
드라세나 수르쿨로사,leaf
디지고데카,leaf
디펜바키아 '마리안느',leaf
디펜바키아 '트로픽스노우',leaf
떡갈잎 고무나무,leaf
러브체인,leaf
렉스베고니아,leaf
루모라고사리,leaf
루스커스,leaf
마란타 류코뉴라,leaf
마삭줄,leaf
만년청,leaf
만데빌라,leaf
멕시코소철,leaf
멜라니 고무나무,leaf
목베고니아,leaf
몬스테라,leaf
무늬관음죽,leaf
무늬마삭줄,leaf
무늬벤자민고무나무,leaf
무늬산호수,leaf
무늬석창포,leaf
무늬쉐플레라'홍콩',leaf
무늬알피니아,leaf
무늬유카,leaf
무늬접란,leaf
무늬털머위,leaf
무늬팻츠헤데라,leaf
무늬푸밀라고무나무,leaf
뮤렌베키아,leaf
바위취,leaf
박쥐란,leaf
백량금,leaf
백정화,leaf
백화등,leaf
벤자민고무나무,leaf
벤자민고무나무 '킹',leaf
벵갈고무나무,leaf
병솔나무,leaf
보스톤고사리,leaf
봉의꼬리,leaf
부겐빌레아,leaf
브룬펠시아,leaf
브리세아,leaf
비젯티접란,leaf
비타툼접란,leaf
산세베리아,leaf
산세베리아 '골든 하니',leaf
산호수,leaf
삼색데코라고무나무,leaf
상록넉줄고사리 '후마타',leaf
새우란,leaf
석창포,leaf
세네시오 라디칸스,leaf
세이프릿지 야자,leaf
셀라기넬라,leaf
소철,leaf
소피아 고무나무,leaf
솔레이롤리아,leaf
수박페페로미아,leaf
수박필레아,leaf
수염 틸란드시아,leaf
숙근이베리스,leaf
쉐플레라 '홍콩',leaf
스킨답서스,leaf
스파티필룸,leaf
스파티필룸 (광엽),leaf
시서스,leaf
시클라멘,leaf
심비디움,leaf
싱고니움,leaf
아글라오네마,leaf
아데니움,leaf
아디안텀,leaf
아라우카리아,leaf
아레카야자,leaf
아마릴리스,leaf
아스파라거스 풀루모수스,leaf
아스플레니움,leaf
아왜나무,leaf
아이비,leaf
아펠란드라,leaf
아프리칸 바이올렛,leaf
안수리움,leaf
알로카시아 아마조니카,leaf
알로카시아 쿠쿨라타,leaf
얼룩자주달개비,leaf
에메랄드리플 페페로미아,leaf
에크메아 파시아타,leaf
엘라티올 베고니아,leaf
여우꼬리풀,leaf
엽란,leaf
옥살리스(사랑초),leaf
온시디움,leaf
왜란,leaf
왜성종려죽,leaf
움벨라타 고무나무,leaf
유카,leaf
은사철나무,leaf
익소라,leaf
인삼벤자민,leaf
자금우,leaf
자란,leaf
자주색만년초,leaf
접란,leaf
제라니움,leaf
좀마삭줄,leaf
종려방동사니,leaf
종려죽,leaf
죽백나무,leaf
줄리아 페페로미아,leaf
참쇠고비(섬쇠고비),leaf
치자나무,leaf
칼라데아 마코야나,leaf
칼라데아 인시그니스,leaf
칼라데아 크로카타,leaf
칼라디움,leaf
칼랑코에,leaf
커피나무,leaf
켄챠야자,leaf
코르딜리네 레드에지,leaf
크로톤,leaf
크로톤,leaf
크립탄서스,leaf
클레마티스,leaf
털달개비,leaf
털머위,leaf
테이블야자,leaf
톨미아,leaf
틸란드시아,leaf
파키라,leaf
파피오페딜럼,leaf
팔레놉시스(호접란),leaf
팔손이나무,leaf
팬더 고무나무,leaf
팻츠헤데라,leaf
페페로미아 오브투시폴리아,leaf
페페로미아 클루시폴리아,leaf
페페로미아 푸테올라타,leaf
포인세티아,leaf
폴리시아스,leaf
푸밀라고무나무,leaf
프테리스,leaf
피라칸사,leaf
피토니아 핑크스타,leaf
피토니아 화이트스타,leaf
픽투라툼 접란,leaf
"필레아 글라우카(타라, 블루체인)",leaf
필로덴드론 '선라이트',leaf
필로덴드론 '제나두',leaf
필로덴드론 고엘디,leaf
필로덴드론 레몬라임,leaf
필로덴드론 셀로움,leaf
필로덴드론 옥시카르디움,leaf
필로덴드론 콩고,leaf
해마리아,leaf
행운목,leaf
헤미오니티스(하트펀),leaf
헤테로파낙스 프라그란스 (해피트리),leaf
협죽도,leaf
형광스킨답서스,leaf
호야,leaf
호야 엑소티카,leaf
호주매,leaf
홀리아페페로미아,leaf
황금마삭줄,leaf
황금죽,leaf
후피향나무,leaf
흰꽃나도사프란,leaf
흰줄무늬달개비(트라데스칸티아),leaf
히포에스테스,leaf
